uf,ano,medicos_mil_hab,leitos_mil_hab,dengue_cem_mil_hab,casos_hemorragica,obitos_hemorragica,taxa_obito_hemorragica
RO,1990,0.36,2.5,,0.0,0.0,0.0
AC,1990,0.26,2.99,,0.0,0.0,0.0
AM,1990,0.47,1.69,,0.0,0.0,0.0
RR,1990,0.22,2.79,,0.0,0.0,0.0
PA,1990,0.51,1.98,,0.0,0.0,0.0
AP,1990,0.26,2.02,,0.0,0.0,0.0
TO,1990,0.47,3.23,,0.0,0.0,0.0
MA,1990,0.35,3.76,,0.0,0.0,0.0
PI,1990,0.46,2.45,,0.0,0.0,0.0
CE,1990,0.61,3.1,250.1,0.0,0.0,0.0
RN,1990,0.74,2.96,,0.0,0.0,0.0
PB,1990,0.77,3.98,,0.0,0.0,0.0
PE,1990,0.85,3.35,,0.0,0.0,0.0
AL,1990,0.81,2.94,11.9,0.0,0.0,0.0
SE,1990,0.69,2.56,,0.0,0.0,0.0
BA,1990,0.64,2.04,,0.0,0.0,0.0
MG,1990,0.99,3.83,,0.0,0.0,0.0
ES,1990,1.16,3.22,,0.0,0.0,0.0
RJ,1990,2.57,5.19,155.5,274.0,8.0,0.03
SP,1990,1.5,4.06,9.8,0.0,0.0,0.0
PR,1990,0.92,4.54,,0.0,0.0,0.0
SC,1990,0.78,3.79,,0.0,0.0,0.0
RS,1990,1.4,4.04,,0.0,0.0,0.0
MS,1990,0.8,3.83,92.3,0.0,0.0,0.0
MT,1990,0.54,3.4,,0.0,0.0,0.0
GO,1990,0.85,5.93,,0.0,0.0,0.0
DF,1990,2.12,2.92,,0.0,0.0,0.0
AC,1991,0.26,3.01,,0.0,0.0,0.0
AL,1991,0.83,3.19,52.4,0.0,0.0,0.0
AM,1991,0.47,1.73,,0.0,0.0,0.0
AP,1991,0.25,2.35,,0.0,0.0,0.0
BA,1991,0.66,2.06,,0.0,0.0,0.0
CE,1991,0.62,2.81,105.3,0.0,0.0,0.0
DF,1991,2.18,3.27,,0.0,0.0,0.0
ES,1991,1.19,3.59,,0.0,0.0,0.0
GO,1991,0.86,4.5,,0.0,0.0,0.0
MA,1991,0.35,3.56,,0.0,0.0,0.0
MG,1991,1.03,3.38,1.8,0.0,0.0,0.0
MS,1991,0.83,4.07,244.1,0.0,0.0,0.0
MT,1991,0.54,3.56,,0.0,0.0,0.0
PA,1991,0.51,2.49,,0.0,0.0,0.0
PB,1991,0.78,3.45,,0.0,0.0,0.0
PE,1991,0.87,2.92,,0.0,0.0,0.0
PI,1991,0.46,3.07,,0.0,0.0,0.0
PR,1991,0.95,3.86,,0.0,0.0,0.0
RJ,1991,2.61,5.08,670.6,188.0,0.0,0.0
RN,1991,0.77,3.35,,0.0,0.0,0.0
RO,1991,0.35,3.21,,0.0,0.0,0.0
RR,1991,0.21,3.35,,0.0,0.0,0.0
RS,1991,1.44,3.97,,0.0,0.0,0.0
SC,1991,0.81,3.72,,0.0,0.0,0.0
SE,1991,0.7,3.04,,0.0,0.0,0.0
SP,1991,1.54,4.38,11.6,0.0,0.0,0.0
TO,1991,0.54,3.16,238.5,0.0,0.0,0.0
AC,1992,0.31,2.81,,,0.0,
AL,1992,0.85,3.46,0.0,,0.0,
AM,1992,0.48,1.71,,,0.0,
AP,1992,0.25,2.88,,,0.0,
BA,1992,0.68,1.91,0.0,,0.0,
CE,1992,0.64,2.39,0.0,,0.0,
DF,1992,2.21,3.85,0.0,,0.0,
ES,1992,1.23,4.27,0.0,,0.0,
GO,1992,0.88,2.75,0.0,,0.0,
MA,1992,0.36,3.05,0.0,,0.0,
MG,1992,1.06,2.84,0.0,,0.0,
MS,1992,0.86,4.24,0.0,,0.0,
MT,1992,0.56,3.46,0.0,,0.0,
PA,1992,0.52,3.14,,,0.0,
PB,1992,0.8,2.44,0.0,,0.0,
PE,1992,0.89,2.2,0.0,,0.0,
PI,1992,0.47,3.82,0.0,,0.0,
PR,1992,0.98,3.07,0.0,,0.0,
RJ,1992,2.68,5.14,12.8,,0.0,
RN,1992,0.8,3.91,0.0,,0.0,
RO,1992,0.35,4.15,,,0.0,
RR,1992,0.22,3.75,,,0.0,
RS,1992,1.49,3.94,0.0,,0.0,
SC,1992,0.84,3.72,0.0,,0.0,
SE,1992,0.73,3.65,0.0,,0.0,
SP,1992,1.59,5.15,0.1,,0.0,
TO,1992,0.59,2.96,,,0.0,
AC,1993,0.35,2.92,,,0.0,
AL,1993,0.86,3.04,30.0,,0.0,
AM,1993,0.48,1.71,,,0.0,
AP,1993,0.27,2.25,,,0.0,
BA,1993,0.69,2.07,,,0.0,
CE,1993,0.65,2.71,0.1,,0.0,
DF,1993,2.27,3.11,,,0.0,
ES,1993,1.25,3.41,,,0.0,
GO,1993,0.9,4.28,,,0.0,
MA,1993,0.37,3.38,,,0.0,
MG,1993,1.1,3.24,23.9,,0.0,
MS,1993,0.88,3.9,30.8,,0.0,
MT,1993,0.56,3.41,41.2,,0.0,
PA,1993,0.52,2.42,,,0.0,
PB,1993,0.81,3.34,,,0.0,
PE,1993,0.9,2.86,,,0.0,
PI,1993,0.48,3.01,,,0.0,
PR,1993,1.03,3.71,,,0.0,
RJ,1993,2.73,4.78,4.8,,0.0,
RN,1993,0.81,3.22,,,0.0,
RO,1993,0.36,3.08,,,0.0,
RR,1993,0.22,3.16,,,0.0,
RS,1993,1.52,3.83,,,0.0,
SC,1993,0.86,3.58,,,0.0,
SE,1993,0.74,2.88,,,0.0,
SP,1993,1.62,4.1,2.0,,0.0,
TO,1993,0.62,3.03,,,0.0,
AC,1994,0.36,2.87,0.0,0.0,0.0,0.0
AL,1994,0.87,2.96,13.0,0.0,0.0,0.0
AM,1994,0.5,1.7,0.0,0.0,0.0,0.0
AP,1994,0.28,2.2,0.0,0.0,0.0,0.0
BA,1994,0.7,2.08,15.2,0.0,0.0,0.0
CE,1994,0.67,2.66,711.9,25.0,11.0,0.44
DF,1994,2.35,3.03,0.8,0.0,0.0,0.0
ES,1994,1.28,3.32,0.0,0.0,0.0,0.0
GO,1994,0.93,4.17,78.8,0.0,0.0,0.0
MA,1994,0.38,3.3,0.0,0.0,0.0,0.0
MG,1994,1.15,3.18,0.0,0.0,0.0,0.0
MS,1994,0.9,3.81,61.3,0.0,0.0,0.0
MT,1994,0.56,3.34,60.8,0.0,0.0,0.0
PA,1994,0.52,2.38,0.0,0.0,0.0,0.0
PB,1994,0.83,3.29,0.0,0.0,0.0,0.0
PE,1994,0.92,2.83,0.0,0.0,0.0,0.0
PI,1994,0.49,2.97,1.0,0.0,0.0,0.0
PR,1994,1.06,3.63,0.0,0.0,0.0,0.0
RJ,1994,2.8,4.64,2.2,0.0,0.0,0.0
RN,1994,0.83,3.15,13.6,0.0,0.0,0.0
RO,1994,0.37,3.02,0.0,0.0,0.0,0.0
RR,1994,0.24,3.06,0.0,0.0,0.0,0.0
RS,1994,1.57,3.76,0.0,0.0,0.0,0.0
SC,1994,0.9,3.51,0.0,0.0,0.0,0.0
SE,1994,0.76,2.8,0.0,0.0,0.0,0.0
SP,1994,1.66,3.96,2.1,0.0,0.0,0.0
TO,1994,0.68,2.97,1.8,0.0,0.0,0.0
AC,1995,0.36,2.83,0.0,0.0,0.0,0.0
AL,1995,0.88,2.88,29.6,0.0,0.0,0.0
AM,1995,0.51,1.69,0.0,0.0,0.0,0.0
AP,1995,0.33,2.14,0.0,0.0,0.0,0.0
BA,1995,0.72,2.09,272.9,2.0,0.0,0.0
CE,1995,0.68,2.61,29.7,0.0,0.0,0.0
DF,1995,2.4,2.96,0.0,0.0,0.0,0.0
